,Timestamp,Gender,Age,Time zone,Native English,Number of oshis,Pomu Rainpuff,Elira Pendora,Finana Ryugu,Rosemi Lovelock,Petra Gurin,Selen Tatsuki,Nina Kosaka,Millie Parfait,Enna Alouette,Reimu Endou,Luca Kaneshiro,Shu Yamino,Ike Eveland,Mysta Rias,Vox Akuma,Sonny Brisko,Uki Violeta,Alban Knox,Fulgur Ovid,Maria Marionette,Kyo Kaneko,Aia Amare,Aster Arcadia,Scarle Yonaguni,Ren Zotto,Doppio Dropscythe,Meloco Kyoran,Hex Haywire,Kotoka Torahime,Ver Vermillion
68,2023-05-21 07:57:44,Unknown,30.0,8.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
69,2023-05-21 08:03:50,Unknown,16.0,8.0,True,6,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
70,2023-05-21 08:08:28,Unknown,25.0,8.0,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
71,2023-05-21 08:08:56,Unknown,20.0,1.0,True,11,True,False,False,False,False,True,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False
72,2023-05-21 08:11:09,Unknown,33.0,1.0,True,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
73,2023-05-21 08:14:25,Unknown,18.0,7.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
74,2023-05-21 08:16:14,Unknown,22.0,-8.0,True,5,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
75,2023-05-21 08:17:09,Unknown,,-5.0,True,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
76,2023-05-21 08:19:20,Unknown,24.0,8.0,True,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
77,2023-05-21 08:24:06,Unknown,16.0,2.0,True,8,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False
78,2023-05-21 08:25:05,Unknown,26.0,2.0,False,4,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
79,2023-05-21 08:30:05,Unknown,18.0,,True,3,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
80,2023-05-21 08:32:14,Unknown,24.0,12.0,True,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81,2023-05-21 08:37:48,Unknown,19.0,1.0,True,5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
82,2023-05-21 08:44:46,Unknown,19.0,-5.0,True,3,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
83,2023-05-21 08:45:03,Unknown,,-5.0,True,6,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
84,2023-05-21 08:48:30,Unknown,18.0,-4.0,True,15,True,True,True,True,False,True,False,False,True,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False
85,2023-05-21 08:53:51,Unknown,19.0,5.0,True,6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
86,2023-05-21 08:53:53,Unknown,33.0,-3.0,False,6,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
87,2023-05-21 09:01:10,Unknown,26.0,-6.0,False,2,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,2023-05-21 09:01:32,Unknown,30.0,8.0,True,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
89,2023-05-21 09:02:07,Unknown,26.0,-5.0,True,8,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False
90,2023-05-21 09:02:18,Unknown,20.0,7.0,True,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
91,2023-05-21 09:09:35,Unknown,24.0,2.0,False,6,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True
92,2023-05-21 09:10:49,Unknown,17.0,12.0,True,7,False,True,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
93,2023-05-21 09:12:34,Unknown,26.0,-5.0,True,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
94,2023-05-21 09:13:58,Unknown,30.0,8.0,True,5,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
95,2023-05-21 09:15:24,Unknown,22.0,8.0,True,13,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False,False,False,False,True,False,True,True,True,True,True
96,2023-05-21 09:20:15,Unknown,16.0,6.0,True,9,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
97,2023-05-21 09:22:35,Unknown,19.0,10.0,True,2,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,2023-05-21 09:26:01,Unknown,22.0,8.0,True,3,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99,2023-05-21 09:27:16,Unknown,19.0,-6.0,True,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
100,2023-05-21 09:30:17,Unknown,16.0,0.0,True,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
101,2023-05-21 09:34:07,Unknown,21.0,-5.0,True,11,True,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False
102,2023-05-21 09:37:53,Unknown,18.0,-4.0,True,6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True
103,2023-05-21 09:38:04,Unknown,17.0,2.0,True,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
